[2024-07-18 12:47:48][INFO] Loading resources...
[2024-07-18 13:00:09][FINE] Scheduled update for region-file: (0, 1) (Map: world)
[2024-07-18 13:00:12][FINE] Scheduled update for region-file: (0, 0) (Map: world)
[2024-07-18 13:00:20][FINE] Scheduled update for region-file: (2, 0) (Map: world)
[2024-07-18 13:00:21][FINE] Scheduled update for region-file: (-1, -1) (Map: world)
[2024-07-18 13:00:21][FINE] Scheduled update for region-file: (0, -1) (Map: world)
[2024-07-18 13:00:26][FINE] Scheduled update for region-file: (0, -1) (Map: world)
[2024-07-18 13:00:26][FINE] Scheduled update for region-file: (-1, -1) (Map: world)
[2024-07-18 13:00:32][FINE] Scheduled update for region-file: (1, 1) (Map: world)
[2024-07-18 13:00:32][FINE] Scheduled update for region-file: (2, 1) (Map: world)
[2024-07-18 13:00:38][FINE] Scheduled update for region-file: (2, -1) (Map: world)
[2024-07-18 13:00:41][FINE] Scheduled update for region-file: (2, 0) (Map: world)
[2024-07-18 13:00:51][FINE] Scheduled update for region-file: (1, -1) (Map: world)
[2024-07-18 13:00:51][FINE] Scheduled update for region-file: (2, -1) (Map: world)
[2024-07-18 13:00:51][FINE] Scheduled update for region-file: (1, 0) (Map: world)
[2024-07-18 13:00:51][FINE] Scheduled update for region-file: (2, 0) (Map: world)
[2024-07-18 13:00:58][FINE] Scheduled update for region-file: (0, -1) (Map: world)
[2024-07-18 13:01:04][FINE] Scheduled update for region-file: (0, -2) (Map: world)
[2024-07-18 13:01:14][FINE] Scheduled update for region-file: (0, 0) (Map: world)
[2024-07-18 13:01:14][FINE] Scheduled update for region-file: (0, -2) (Map: world)
[2024-07-18 13:01:14][FINE] Scheduled update for region-file: (1, -2) (Map: world)
[2024-07-18 13:01:20][FINE] Scheduled update for region-file: (1, -1) (Map: world)
[2024-07-18 13:01:21][FINE] Scheduled update for region-file: (0, 0) (Map: world)
[2024-07-18 13:01:21][FINE] Scheduled update for region-file: (-1, 0) (Map: world)
[2024-07-18 13:01:28][FINE] Scheduled update for region-file: (0, -1) (Map: world)
[2024-07-18 13:01:29][FINE] Scheduled update for region-file: (1, -1) (Map: world)
[2024-07-18 13:01:36][FINE] Scheduled update for region-file: (2, -1) (Map: world)
[2024-07-18 13:01:41][FINE] Scheduled update for region-file: (1, -1) (Map: world)
[2024-07-18 13:01:45][FINE] Scheduled update for region-file: (0, 0) (Map: world)
[2024-07-18 13:01:45][FINE] Scheduled update for region-file: (-1, 0) (Map: world)
[2024-07-18 13:01:46][FINE] Scheduled update for region-file: (2, 0) (Map: world)
[2024-07-18 13:01:51][FINE] Scheduled update for region-file: (0, -1) (Map: world)
